Competitive dancing;0
Cheerleading;1
Gymnastics;2
Aerobatics;3
Air racing	;4
Cluster ballooning;5
Hopper ballooning;6
Gliding;7
Hang gliding	;8
Powered hang glider;9
Human powered aircraft;10
Model aircraft;11
Parachuting	;12
Banzai skydiving;13
BASE jumping;14
Skydiving;15
Skysurfing;16
Wingsuit flying;17
Paragliding	;18
Powered paragliding;19
Paramotoring;20
Ultralight aviation;21
Field archery;22
Flight archery;23
Gungdo;24
Indoor archery;25
KyÅ«dÅ�;26
Popinjay;27
Target archery;28
Badminton;29
Ball badminton;30
Biribol;31
Bossaball;32
Fistball;33
Footbag net;34
Football tennis;35
Footvolley;36
Hooverball;37
Jianzi;38
Padel;39
Peteca;40
Pickleball;41
Platform tennis;42
Rocball;43
Sepak takraw;44
Sipa;45
Table tennis;46
Tennis;47
Throwball;48
Volleyball	;49
Beach volleyball;50
Paralympic volleyball;51
Water volleyball;52
Wallyball;53
Basketball	;54
Beach basketball;55
Deaf basketball;56
Streetball;57
Unicycle basketball;58
Water basketball;59
Wheelchair basketball;60
Cestoball;61
Korfball;62
Netball	;63
Fastnet;64
Indoor netball;65
Ringball;66
Slamball;67
SportRelay Ball;68
Baseball;69
Softball;70
Slow pitch;71
Fast-pitch softball;72
16-inch softball;73
Bat and trap;74
British baseball â€“ four posts;75
BrÃ¤nnboll â€“ four bases;76
Corkball â€“ four bases (no base-running);77
Cricket â€“ two creases	;78
Indoor cricket;79
Limited overs cricket;80
One Day International;81
Test cricket;82
Twenty20;83
Danish longball;84
Kickball;85
Kilikiti;86
Lapta â€“ two salos (bases);87
The Massachusetts Game â€“ four bases;88
Matball;89
Oina;90
Old cat â€“ variable;91
Over-the-line â€“ qv;92
Palant;93
PesÃ¤pallo â€“ four bases;94
Punchball;95
Rounders â€“ four bases or posts;96
Scrub baseball â€“ four bases;97
Stickball â€“ variable;98
Stool ball â€“ two stools;99
Tee-ball;100
Town ball â€“ variable;101
Vigoro â€“ two wickets;102
Wireball;103
Wiffleball;104
Baton twirling;105
Skateboarding	;106
Casterboarding;107
Freeboard (skateboard);108
Longboarding;109
Streetboarding;110
Scootering;111
Skysurfing;112
Streetluge;113
Snowboarding	;114
Mountainboarding;115
Sandboarding;116
Snowkiting;117
Surfing	;118
Wakesurfing;119
Bodyboarding;120
Riverboarding;121
Skimboarding;122
Windsurfing;123
Wakeboarding	;124
Kneeboarding;125
Paddleboarding;126
Dodgeball;127
Ga-ga;128
Keep away;129
Kin-Ball;130
Newcomb ball;131
Quidditch;132
Yukigassen;133
Abseiling;134
Aid climbing;135
Ice climbing;136
Mixed climbing;137
Mountaineering;138
Rock climbing	;139
Bouldering;140
Deep-water soloing;141
Sport climbing;142
Traditional climbing;143
Other	;144
Canyoning (Canyoneering);145
Coasteering;146
Hiking;147
Rope climbing;148
Pole climbing;149
Artistic cycling;150
BMX;151
Cyclo-cross;152
Cross-country mountain biking;153
Cycle polo;154
Cycle speedway;155
Downhill mountain biking;156
Dirt jumping;157
Freestyle BMX;158
Hardcourt Bike Polo;159
Road bicycle racing;160
Track cycling;161
Underwater cycling;162
Skibobbing;163
Mountain unicycling;164
Street unicycling;165
Unicycling;166
Unicycle basketball;167
Unicycle hockey;168
Unicycle trials;169
Aiki-jÅ«jutsu	;170
Aikido;171
Jujutsu;172
Judo;173
Brazilian jiu-jitsu;174
Sambo (martial art);175
Sumo;176
Wrestling;177
Amateur wrestling;178
Greco-Roman wrestling;179
Freestyle wrestling;180
Folk wrestling;181
Boli Khela;182
Collar-and-elbow;183
Cornish wrestling;184
Dumog;185
Glima;186
Gouren;187
Kurash;188
Lancashire wrestling;189
Catch wrestling;190
Malla-yuddha;191
Mongolian wrestling;192
Pehlwani;193
Professional wrestling;194
Schwingen;195
Shuai jiao;196
Ssireum;197
Varzesh-e Pahlavani;198
YaÄŸlÄ± GÃ¼reÅŸ;199
Greek wrestling;200
Choi Kwang-Do;201
Cockfighting;202
Boxing;203
Bokator;204
Capoeira;205
Fujian White Crane;206
Karate;207
KenpÅ�;208
Kickboxing;209
Lethwei;210
Muay Thai;211
Pradal serey;212
Sanshou;213
Savate;214
Shaolin Kung Fu;215
Sikaran;216
Silat;217
Subak;218
Taekkyeon;219
Taekwondo;220
TaidÅ�;221
Tang Soo Do;222
Wing Chun;223
Baguazhang;224
Bando;225
Bartitsu;226
Bujinkan;227
Hapkido;228
Hwa Rang Do;229
Jeet Kune Do;230
Kajukenbo;231
Kalaripayattu;232
Krav Maga;233
Kuk Sool Won;234
Marine Corps Martial Arts Program;235
Mixed martial arts;236
Northern Praying Mantis;237
Ninjutsu;238
Pankration;239
Pencak Silat;240
Sanshou;241
ShidÅ�kan Karate;242
ShÅ�rin-ryÅ« ShidÅ�kan;243
Shoot boxing;244
Shootfighting;245
Shorinji Kempo;246
Systema;247
T'ai chi ch'uan;248
Vajra-mushti;249
Vale tudo;250
Vovinam;251
Xing Yi Quan;252
Zen Bu Kan Kempo;253
Axe throwing;254
BattÅ�jutsu;255
Boffer fighting;256
Eskrima;257
Egyptian stick fencing;258
Fencing;259
Gatka;260
HojÅ�jutsu;261
IaidÅ�;262
Iaijutsu;263
JÅ�dÅ�;264
Jogo do pau;265
JÅ«kendÅ�;266
Jittejutsu;267
Kendo;268
Kenjutsu;269
Krabiâ€“krabong;270
Kung fu;271
KyÅ«dÅ�;272
KyÅ«jutsu;273
Modern Arnis;274
