10K run;600;0;
16-inch softball;58;0;
5K run;599;0;
Abseiling;119;0;
Acrobatic gymnastics;465;0;
Adventure racing;523;0;
Aerobatics;3;0;
Aerobic gymnastics;466;0;
Aid climbing;120;0;
Aikido;156;0;
Aiki-jÅ«jutsu;155;0;
Air racing;4;0;
All-terrain vehicle competition;858;0;
Alpine skiing;620;0;
Amateur wrestling;163;0;
American flag rugby;442;0;
American football;420;0;
American handball;538;1;X
American handball;718;0;
Ancient games;367;0;
Angling;344;0;
Apnoea finswimming;761;0;
Aquathlon (underwater wrestling);762;0;
Arena football;424;0;
Artistic billiards;276;0;
Artistic cycling;135;0;
Artistic gymnastics;467;0;
Artistic pool;291;0;
Association football;391;0;
Australian football;408;0;
Australian handball;539;1;X
Australian handball;719;0;
Austus;450;0;
Auto Race;831;0;
Autocross (a.k.a. Slalom);783;0;
Autograss;784;0;
Axe throwing;239;0;
Ba game;378;0;
Backpacking (wilderness);714;0;
Backstroke;754;0;
Badminton;14;1;X
Badminton;552;0;
Bagatelle;309;0;
Baguazhang;209;0;
Balance beam;468;0;
Balkline and straight rail;273;0;
Ball;478;0;
Ball badminton;15;1;X
Ball badminton;553;0;
Ball hockey;652;0;
Bando;210;1;X
Bando;653;0;
Bandy;504;1;X
Bandy;654;0;
Banger racing;785;0;
Bank pool;290;0;
Bar billiards;310;0;
Bareback Bronc Riding;589;0;
Barrel racing;315;1;X
Barrel Racing;586;0;
Bartitsu;211;0;
Baseball;54;0;
Baseball pocket billiards;288;0;
Basketball;39;0;
Basque pelota;540;1;X
Basque pelota;554;1;X
Basque pelota;720;0;
Basque traditional weightlifting;775;0;
Bat and trap;59;0;
Baton twirling;90;0;
BattÅ�jutsu;240;0;
Beach basketball;40;0;
Beach handball;493;0;
Beach rugby;432;0;
Beach soccer;397;0;
Beach tennis;557;0;
Beach ultimate;354;0;
Beach volleyball;35;0;
Beagling;498;0;
Benchrest shooting;643;0;
Biathlon;524;0;
Bicycle polo;688;0;
Big game hunting;499;0;
Big-game fishing;345;0;
Biribol;16;0;
Blackball (a.k.a. British eight-ball pool);280;0;
BMX;136;0;
Board track racing;786;1;X
Board track racing;832;0;
Bobsleigh;630;0;
Bodyboarding;105;0;
Bodybuilding;776;0;
Boffer fighting;241;0;
Bokator;189;0;
Boli Khela;167;0;
Bossaball;17;0;
Bottle pool;306;0;
Bouldering;125;0;
Bowlliards;294;0;
Box lacrosse;683;0;
Boxing;188;0;
BrÃ¤nnboll â€“ four bases;61;0;
Brazilian jiu-jitsu;159;0;
Breakaway Roping;592;0;
Breaststroke;755;0;
British baseball â€“ four posts;60;0;
British bulldogs (American Eagle);702;0;
Bronc Riding;587;0;
Broomball;506;1;X
Broomball;656;0;
Bujinkan;212;0;
Bullriding;584;0;
Bumper pool;311;0;
Bushwhacking;716;0;
Butterfly stroke;756;0;
Butts Up;721;0;
Buzkashi;314;0;
Caid;379;0;
Calcio Fiorentino;380;0;
Calf Roping;593;0;
Cammag;677;0;
Camogie;679;0;
Campdrafting;316;0;
Camping (game);381;0;
Canadian football;429;0;
Canoe polo;689;1;X
Canoe polo;753;0;
Canoeing;734;0;
Canyoning (Canyoneering);130;0;
Capoeira;190;0;
Capture the flag;703;0;
Card stacking;648;0;
Carom billiards;270;0;
carromNovuss (and cued forms of );277;0;
Casterboarding;92;0;
Casting;346;0;
Catch wrestling;175;0;
Cestoball;46;0;
Charreada;318;0;
Cheerleading;1;0;
Chicago;295;0;
Chilean rodeo;319;0;
Chinese handball;722;0;
Chinlone;368;0;
Choi Kwang-Do;186;0;
Cirit;317;0;
Clay pigeon shooting;635;0;
Cliff diving;773;0;
Club;479;0;
Cluster ballooning;5;0;
Cnapan;382;0;
Coastal and ocean rowing;747;0;
Coasteering;131;0;
Cockfighting;187;0;
Collar-and-elbow;168;0;
Competitive dancing;0;0;
Composite rules shinty-hurling;681;0;
Corkball â€“ four bases (no base-running);62;0;
Cornish hurling;383;0;
Cornish wrestling;169;0;
Cowboy;307;0;
Cowboy action shooting;646;0;
Cowboy polo;690;0;
Creeking;736;0;
Cribbage (pool);289;0;
Cricket â€“ two creases;63;0;
Cross country;320;0;
Cross-country mountain biking;138;0;
Cross-country rally;833;0;
Cross-country running;601;0;
Cross-country skiing;624;0;
CrossFit;782;0;
Cuju;369;0;
Curling;508;0;
Cushion caroms;274;0;
Cutthroat;297;0;
Cutting;321;0;
Cycle polo;139;0;
Cycle speedway;140;0;
Cyclo-cross;137;0;
Czech handball;494;0;
Danish longball;69;0;
Deaf basketball;41;0;
Decathlon;526;0;
Deep-water soloing;126;0;
Deer hunting;500;0;
Demolition derby;787;0;
Desert racing;788;0;
Dice stacking;649;0;
Dinghy sailing;619;0;
Dirt jumping;142;0;
Dirt track racing;789;0;
Disc dog;355;0;
Disc golf;356;0;
Disc golf (urban);357;0;
Diving;774;0;
Dodge disc;358;0;
Dodgeball;112;0;
Double disc court;359;0;
Downhill mountain biking;141;0;
Drag boat racing;825;0;
Drag racing;790;0;
Dragon boat racing;750;0;
Dressage;322;0;
Drifting;791;0;
Duathlon;525;0;
Dumog;170;0;
Egyptian stick fencing;243;0;
Eight-ball;279;0;
